Drug A,Drug B,Severity,Mechansim,Reference
Sitagliptin,Losartan,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Sitagliptin,Oxycodone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Sitagliptin,Aspirin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Sitagliptin,Pantoprazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Sitagliptin,Ciprofloxacin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Sitagliptin,Atorvastatin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
SSRIs,MAOI,Major,Serotonin syndrome,DrugBank
St. John's wort,Oral contraceptives,Major,Reduces efficacy of hormonal contraceptives,DrugBank
St. John's wort,Warfarin,Major,Alters warfarin levels (induction) - variable effect,DrugBank
St. John's wort,Salmeterol,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
St. John's wort,Nitroglycerin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
St. John's wort,Lamotrigine,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
St. John's wort,Montelukast,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
St. John's wort,Glibenclamide,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
St. John's wort,Quetiapine,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
St. John's wort,Pantoprazole,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
St. John's wort,Naproxen,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Sunitinib,Famotidine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Sunitinib,Imatinib,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Sunitinib,Amiodarone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Sunitinib,Enalapril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Sunitinib,Vitamin D3,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Sunitinib,Quetiapine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Tadalafil,Calcium Carbonate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tadalafil,Clarithromycin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Tadalafil,Pregabalin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Tadalafil,Codeine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tadalafil,Amoxicillin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Tadalafil,Risedronate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Tadalafil,Aripiprazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tetracycline,Alendronate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tetracycline,Tiotropium,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Tetracycline,Green tea extract,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Tetracycline,Clarithromycin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tetracycline,Levothyroxine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tetracycline,Olanzapine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Tetracycline,Paroxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tiotropium,Lorazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Tiotropium,Fluoxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tiotropium,Captopril,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Tiotropium,Oxycodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Tiotropium,Levofloxacin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tiotropium,Canagliflozin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Tiotropium,Cefuroxime,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tramadol,SSRI,Major,Risk of serotonin syndrome,DrugBank
Tramadol,Citalopram,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Tramadol,Grapefruit juice,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Tramadol,St. John's wort,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Tramadol,Fluoxetine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Tramadol,Pantoprazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Tramadol,Salbutamol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Tramadol,Vitamin B12,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Tramadol,Antacid (Omeprazole),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Trastuzumab,Garlic extract,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Trastuzumab,Tadalafil,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Trastuzumab,Lorazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Trastuzumab,Turmeric (Curcumin),None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Trastuzumab,Paclitaxel,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Trastuzumab,Atorvastatin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Trastuzumab,Fluoxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Turmeric (Curcumin),Ginkgo biloba,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Turmeric (Curcumin),Nivolumab,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Turmeric (Curcumin),Itraconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Turmeric (Curcumin),Minocycline,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Turmeric (Curcumin),Beclometasone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Turmeric (Curcumin),Insulin (Human),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamin B12,Metoprolol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Vitamin B12,Amlodipine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamin B12,Nivolumab,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Vitamin B12,Lithium Carbonate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamin B12,Risedronate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Vitamin B12,Sertraline,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Vitamin B12,Nifedipine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Vitamin B12,Paclitaxel,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamin B12,Hydrocodone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Vitamin D3,Vitamin B12,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Vitamin D3,Sitagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamin D3,Levothyroxine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Vitamin D3,Tiotropium,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Vitamin D3,Lithium Carbonate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamin D3,Risperidone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Vitamin D3,Canagliflozin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamin D3,Metoprolol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamin D3,Amiodarone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Vitamin D3,Folic Acid,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamins A,Escitalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Vitamins A,Pembrolizumab,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Vitamins A,Insulin Lispro,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Vitamins A,Calcium Carbonate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Vitamins A,Clopidogrel,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Vitamins A,Isosorbide Mononitrate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Vitamins A,Paroxetine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Voriconazole,Levetiracetam,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Voriconazole,Ranitidine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Voriconazole,Itraconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Voriconazole,Esomeprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Voriconazole,Clopidogrel,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Voriconazole,Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Voriconazole,Nitroglycerin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Voriconazole,Turmeric (Curcumin),None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Voriconazole,Enoxaparin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Warfarin,Aspirin,Major,Increased bleeding risk - additive anticoagulant/antiplatelet effect,BNF;DrugBank
Warfarin,Amoxicillin,Major,Potential increase in INR - antibiotic effect on gut flora,DrugBank;Literature
Warfarin,Metronidazole,Major,Increased bleeding via CYP inhibition/altered gut flora,DrugBank
Warfarin,Fluconazole,Major,CYP inhibition leading to increased warfarin levels,DrugBank
Warfarin,Amiodarone,Major,Pharmacokinetic interaction increasing warfarin levels,DrugBank
Warfarin,Salmeterol,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Warfarin,Beclometasone,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Warfarin,Antacid (Omeprazole),Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Warfarin,Saxagliptin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Warfarin,Glimepiride,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Warfarin,Nitroglycerin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Zolpidem,Imatinib,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Zolpidem,Green tea extract,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Zolpidem,Sitagliptin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Zolpidem,Calcium Carbonate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Zolpidem,Glimepiride,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Zolpidem,Pregabalin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Zolpidem,Isosorbide Mononitrate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Zolpidem,Omega-3 (Fish Oil),None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Zolpidem,Saxagliptin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
